Orders_Order_ID,Orders_Order_Date,Orders_Customer_Name,Orders_City,Orders_Country
B-25601,"Sunday, April 1, 2018",Brooke Hodgson,Leipzig,Germany
B-25602,"Sunday, April 1, 2018",Corey Norton,Marseille,France
B-25603,"Tuesday, April 3, 2018",Elijah Ruatoka,Karlsruhe,Germany
B-25604,"Tuesday, April 3, 2018",Amy Pendred,Hamburg,Germany
B-25605,"Thursday, April 5, 2018",Marcus Leon,Munich,Germany
B-25606,"Friday, April 6, 2018",Cerys Edwards,Offenbach,Germany
B-25607,"Friday, April 6, 2018",Louis Scott,London,United Kingdom
B-25608,"Sunday, April 8, 2018",Eve Bates,Duisburg,Germany
B-25609,"Monday, April 9, 2018",Isaac David,Friedrichshafen,Germany
B-25610,"Monday, April 9, 2018",Tyson Hanna,Ghent,Belgium
B-25611,"Wednesday, April 11, 2018",Isabella Falkiner,Odense,Denmark
B-25612,"Thursday, April 12, 2018",Ruby Frost,Torremolinos,Spain
B-25613,"Thursday, April 12, 2018",Naomi Hancock,Coventry,United Kingdom
B-25614,"Friday, April 13, 2018",Natasha Sykes,Esbjerg,Denmark
B-25615,"Sunday, April 15, 2018",Joseph Locke,Vienna,Austria
B-25616,"Sunday, April 15, 2018",Denise Harris,Herford,Germany
B-25617,"Tuesday, April 17, 2018",Alexandra Whitehouse,Palermo,Italy
B-25618,"Wednesday, April 18, 2018",Lorri Stratton,Hamburg,Germany
B-25619,"Wednesday, April 18, 2018",Joel Peters,Reggio Nell'Emilia,Italy
B-25620,"Friday, April 20, 2018",David Mortlock,Milan,Italy
B-25621,"Friday, April 20, 2018",Ruby Patel,London,United Kingdom
B-25622,"Sunday, April 22, 2018",Luz Reilly,Dresden,Germany
B-25623,"Sunday, April 22, 2018",Ava Giles,Duisburg,Germany
B-25624,"Sunday, April 22, 2018",Rebecca Chamberlain,Argenteuil,France
B-25625,"Monday, April 23, 2018",Imogen Daly,Geneva,Switzerland
B-25626,"Monday, April 23, 2018",Donna Farr,Oslo,Norway
B-25627,"Monday, April 23, 2018",Carl Proctor,Rome,Italy
B-25628,"Tuesday, April 24, 2018",Jessica Spring,Magdeburg,Germany
B-25629,"Tuesday, April 24, 2018",Lincoln Want,Bordeaux,France
B-25630,"Tuesday, April 24, 2018",Amy Nixon,Berlin,Germany
B-25631,"Tuesday, April 24, 2018",Georgina Garner,Noisy-Le-Grand,France
B-25632,"Wednesday, April 25, 2018",Mary Parker,Rome,Italy
B-25633,"Thursday, April 26, 2018",Bradley Howell,Bilbao,Spain
B-25634,"Thursday, April 26, 2018",Jay Andrews,Darlington,United Kingdom
B-25635,"Thursday, April 26, 2018",Eloise Mahmood,Trento,Italy
B-25636,"Thursday, April 26, 2018",Norma Mccowan,Biarritz,France
B-25637,"Thursday, April 26, 2018",Nicholas Carey,Crewe,United Kingdom
B-25638,"Thursday, April 26, 2018",Georgina Garner,Ceuta,Spain
B-25639,"Friday, April 27, 2018",Charlie Brooks,Marseille,France
B-25640,"Friday, April 27, 2018",Angie Massengill,Girona,Spain
B-25641,"Friday, April 27, 2018",Joel Peters,La Madeleine,France
B-25642,"Saturday, April 28, 2018",Millie Franklin,Bristol,United Kingdom
B-25643,"Sunday, April 29, 2018",Lorri Stratton,Deuil-La-Barre,France
B-25644,"Monday, April 30, 2018",Freya Daniels,Milan,Italy
B-25645,"Tuesday, May 1, 2018",Sam French,Krefeld,Germany
B-25646,"Tuesday, May 1, 2018",Leslie Wilson,Champigny-Sur-Marne,France
B-25647,"Thursday, May 3, 2018",Cynthia Zielinski,Derby,United Kingdom
B-25648,"Friday, May 4, 2018",Chelsea Bannister,Coventry,United Kingdom
B-25649,"Saturday, May 5, 2018",Paige Horsfall,Barcelona,Spain
B-25650,"Sunday, May 6, 2018",Sebastian Barber,Waterlooville,United Kingdom
B-25651,"Monday, May 7, 2018",Zachary Warner,Berlin,Germany
